id,name,calories,image_attached
508,"Bacon rashers, back, raw",215,yes
509,"Bacon rashers, back, reduced salt, grilled",282,yes
510,"Bacon rashers, back, smoked, grilled",293,yes
511,"Bacon rashers, back, sweetcure, grilled",258,yes
512,"Bacon rashers, back, 'tendersweet', grilled",213,yes
513,"Bacon rashers, middle, fried in corn oil",350,yes
514,"Bacon rashers, middle, grilled",307,yes
515,"Bacon rashers, middle, raw",241,yes
516,"Bacon rashers, streaky, fried in corn oil",335,yes
517,"Bacon rashers, streaky, grilled",337,yes
518,"Bacon rashers, streaky, raw",276,yes
519,"Bacon, fat only, average, cooked",692,yes
520,"Bacon, fat only, average, raw",747,yes
521,"Bagels, plain",273,yes
522,"Baked beans, canned in barbecue sauce",77,yes
523,"Baked beans, canned in tomato sauce",81,yes
524,"Baked beans, canned in tomato sauce, reduced sugar, reduced salt",75,yes
525,"Baked beans, canned in tomato sauce, with pork sausages",98,yes
526,"Baking fat and margarine (75-90% fat), hard block",688,yes
527,Baking powder,163,yes
528,"Banana bread, homemade",331,yes
529,"Banana split, homemade",205,yes
530,"Bananas, flesh only",81,yes
531,"Bananas, raw, flesh only, weighed with skin",51,yes
532,"Bannocks, made with beremeal, homemade",266,yes
533,"Bannocks, made with wheat flour, homemade",292,yes
534,Barbecue sauce,140,yes
535,"Barbecue sauce, homemade",300,yes
536,"Barcelona nuts, Kernel only",639,yes
537,"Barcelona nuts, kernel only, weighed with shells",397,yes
538,"Barley water, diluted",18,yes
539,"Barley water, undiluted",90,yes
540,"Barley, pearl, boiled",120,yes
541,"Barley, pearl, raw",360,yes
542,"Basil, dried, ground",251,yes
543,"Basil, fresh",40,yes
544,"Bass, sea, flesh only, baked",154,yes
545,"Bass, sea, flesh only, baked, weighed with bones and skin",137,yes
546,"Bass, sea, flesh only, raw",168,yes
547,"Bass, sea, flesh only, raw, weighed with bones and skin",144,yes
548,"Bay leaf, dried",313,yes
549,"Bean loaf, mixed beans, homemade",148,yes
550,"Beanburger, aduki, fried in rapeseed oil, homemade",190,no
551,"Beanburger, butter bean, fried in rapeseed oil, homemade",194,no
552,"Beanburger, red kidney bean, fried in rapeseed oil",202,no
553,"Beanburger, soya, fried in rapeseed oil",193,no
554,"Beans, aduki, whole, dried, boiled in unsalted water",123,yes
555,"Beans, aduki, whole, dried, raw",272,yes
556,"Beans, balor, ends trimmed, raw",23,yes
557,"Beans, blackeye, whole, dried, boiled in unsalted water",116,yes
558,"Beans, blackeye, whole, dried, raw",311,yes
559,"Beans, broad, dried, raw",245,yes
560,"Beans, broad, whole, boiled in unsalted water",91,yes
561,"Beans, broad, whole, raw",59,yes
562,"Beans, butter, canned, re-heated, drained",77,yes
563,"Beans, butter, dried, boiled in unsalted water",105,yes
564,"Beans, butter, dried, raw",290,yes
565,"Beans, cannellini, canned, re-heated, drained",104,yes
566,"Beans, chick peas, canned, re-heated, drained",129,yes
567,"Beans, chick peas, Kabuli, split, dried, boiled in unsalted water",114,yes
568,"Beans, chick peas, Kabuli, split, dried, raw",325,yes
569,"Beans, chick peas, Kabuli, whole, dried, boiled in unsalted water",129,yes
570,"Beans, chick peas, Kabuli, whole, dried, raw",320,yes
571,"Beans, cluster, raw",23,yes
572,"Beans, edamame, frozen, boiled in unsalted water",142,yes
573,"Beans, green, boiled in unsalted water",26,yes
574,"Beans, green, raw",24,yes
575,"Beans, haricot, canned, re-heated, drained",96,yes
576,"Beans, haricot, whole, dried, boiled in unsalted water",95,yes
577,"Beans, haricot, whole, dried, raw",286,yes
578,"Beans, mung, dahl, dried, boiled in unsalted water",92,yes
579,"Beans, mung, dahl, dried, raw",291,yes
580,"Beans, mung, whole, dried, boiled in unsalted water",100,yes
581,"Beans, mung, whole, dried, raw",279,yes
582,"Beans, papri, raw",40,yes
583,"Beans, pigeon peas, dahl, dried, boiled in unsalted water",118,yes
584,"Beans, pigeon peas, dahl, dried, raw",324,yes
585,"Beans, pigeon peas, whole, dried, boiled in unsalted water",117,yes
586,"Beans, pigeon peas, whole, dried, raw",317,yes
587,"Beans, pinto, dried, boiled in unsalted water",137,yes
588,"Beans, pinto, dried, raw",327,yes
589,"Beans, pinto, re-fried beans",107,yes
590,"Beans, red kidney, canned in water, re-heated, drained",100,yes
591,"Beans, red kidney, dried, boiled in unsalted water",100,yes
592,"Beans, red kidney, dried, raw",266,yes
593,"Beans, runner, boiled in unsalted water",16,yes
594,"Beans, runner, raw",22,yes
595,"Beans, soya, dried, boiled in unsalted water",141,yes
596,"Beans, soya, dried, raw",370,yes
597,"Beans, sword, raw",41,yes
598,"Beansprouts, mung, boiled in unsalted water",25,yes
599,"Beansprouts, mung, raw",31,yes
600,"Beansprouts, mung, stir-fried in rapeseed oil",72,yes
601,"Beef bourguignon, homemade",140,yes
602,"Beef bourguignonne, made with lean beef, homemade",105,yes
603,Beef extract,179,yes
604,"Beef olives, homemade",159,yes
605,"Beef steak pudding, homemade",207,yes
606,"Beef Stroganoff, homemade",171,yes
607,"Beef Wellington, homemade",356,yes
608,"Beef, braising steak, braised, lean and fat",246,yes
609,"Beef, braising steak, braised, lean only",225,yes
610,"Beef, braising steak, raw, lean",139,yes
611,"Beef, braising steak, raw, lean and fat",160,yes
612,"Beef, braising steak, slow cooked, lean",197,yes
613,"Beef, braising steak, slow cooked, lean and fat",217,yes
614,"Beef, brisket, boiled, lean",225,yes
615,"Beef, brisket, boiled, lean and fat",268,yes
616,"Beef, brisket, raw, lean",139,yes
617,"Beef, brisket, raw, lean and fat",218,yes
618,"Beef, fat, average, cooked",533,yes
619,"Beef, fat, average, raw",558,yes
620,"Beef, fat, average, raw, extra trimmed",677,yes
621,"Beef, fillet steak, fried in corn oil, lean",184,yes
622,"Beef, fillet steak, fried in corn oil, lean and fat",192,yes
623,"Beef, fillet steak, from steakhouse, lean",178,yes
624,"Beef, fillet steak, from steakhouse, lean and fat",184,yes
625,"Beef, fillet steak, grilled, lean",188,yes
626,"Beef, fillet steak, grilled, lean and fat",200,yes
627,"Beef, fillet steak, raw, lean",140,yes
628,"Beef, fillet steak, raw, lean and fat",155,yes
629,"Beef, flank, pot-roasted, lean",253,yes
630,"Beef, flank, pot-roasted, lean and fat",309,yes
631,"Beef, flank, raw, lean",175,yes
632,"Beef, flank, raw, lean and fat",266,yes
633,"Beef, fore-rib/rib-roast, microwaved, lean",243,yes
634,"Beef, fore-rib/rib-roast, microwaved, lean and fat",306,yes
635,"Beef, fore-rib/rib-roast, microwaved, lean and fat, weighed with bone",254,yes
636,"Beef, fore-rib/rib-roast, raw, lean",145,yes
637,"Beef, fore-rib/rib-roast, raw, lean and fat",253,yes
638,"Beef, fore-rib/rib-roast, roasted, lean",236,yes
639,"Beef, fore-rib/rib-roast, roasted, lean and fat",300,yes
640,"Beef, fore-rib/rib-roast, roasted, lean and fat, weighed with bone",252,yes
641,"Beef, lean, average, raw",129,yes
642,"Beef, lean, average, raw, extra trimmed",132,yes
643,"Beef, mince patties, barbecued",264,yes
644,"Beef, mince, extra lean, stewed",137,yes
645,"Beef, mince, frozen, stewed",204,yes
646,"Beef, mince, microwaved",263,yes
647,"Beef, mince, raw",225,yes
648,"Beef, mince, raw, extra lean",130,yes
649,"Beef, mince, stewed",209,yes
650,"Beef, mince, with vegetables, stewed",122,yes
651,"Beef, minced, stewed with onions, extra lean",113,yes
652,"Beef, rump steak, barbecued, lean",176,yes
653,"Beef, rump steak, barbecued, lean and fat",203,yes
654,"Beef, rump steak, fried in corn oil, lean and fat",228,yes
655,"Beef, rump steak, fried in corn oil, lean only",183,yes
656,"Beef, rump steak, from steakhouse, lean and fat",213,yes
657,"Beef, rump steak, from steakhouse, lean only",162,yes
658,"Beef, rump steak, grilled, lean only",177,yes
659,"Beef, rump steak, raw, lean",125,no
660,"Beef, rump steak, raw, lean and fat",174,no
661,"Beef, rump steak, strips, stir-fried in corn oil, lean",208,no
662,"Beef, rump steak, strips, stir-fried in corn oil, lean and fat",248,no
663,"Beef, silverside, pot-roasted, lean",193,yes
664,"Beef, silverside, pot-roasted, lean and fat",247,no
665,"Beef, silverside, raw, lean",134,yes
666,"Beef, silverside, raw, lean and fat",215,no
667,"Beef, silverside, salted, boiled, lean",184,no
668,"Beef, silverside, salted, boiled, lean and fat",224,no
669,"Beef, silverside, salted, raw, lean",140,no
670,"Beef, silverside, salted, raw, lean and fat",227,no
671,"Beef, sirloin joint, roasted, lean",188,no
672,"Beef, sirloin joint, roasted, lean and fat",233,yes
673,"Beef, sirloin steak, fried in corn oil, lean",189,yes
674,"Beef, sirloin steak, fried in corn oil, lean and fat",233,no
675,"Beef, sirloin steak, from steakhouse, lean",172,no
676,"Beef, sirloin steak, from steakhouse, lean and fat",215,yes
677,"Beef, sirloin steak, grilled medium-rare, lean",176,yes
678,"Beef, sirloin steak, grilled medium-rare, lean and fat",213,yes
679,"Beef, sirloin steak, grilled rare, lean",166,yes
680,"Beef, sirloin steak, grilled rare, lean and fat",216,yes
681,"Beef, sirloin steak, grilled well-done, lean",225,yes
682,"Beef, sirloin steak, grilled well-done, lean and fat",257,yes
683,"Beef, sirloin steak, raw, lean",135,yes
684,"Beef, sirloin steak, raw, lean and fat",201,yes
685,"Beef, stewing steak, frozen, stewed, lean",195,no
686,"Beef, stewing steak, frozen, stewed, lean and fat",212,yes
687,"Beef, stewing steak, pressure cooked, lean",199,no
688,"Beef, stewing steak, pressure cooked, lean and fat",217,no
689,"Beef, stewing steak, raw, lean",122,no
690,"Beef, stewing steak, raw, lean and fat",146,yes
691,"Beef, stewing steak, stewed, lean",185,no
692,"Beef, stewing steak, stewed, lean and fat",203,no
693,"Beef, stir-fried with green peppers, homemade",145,no
694,"Beef, topside, microwaved, lean",181,no
695,"Beef, topside, microwaved, lean and fat",228,no
696,"Beef, topside, raw, lean",116,no
697,"Beef, topside, raw, lean and fat",198,yes
698,"Beef, topside, roasted medium-rare, lean",175,no
699,"Beef, topside, roasted medium-rare, lean and fat",222,no
700,"Beef, topside, roasted well-done, lean",202,no
701,"Beef, topside, roasted well-done, lean and fat",244,no
702,"Beer, bitter, average (<4% ABV)",30,no
703,"Beer, bitter, best, premium",33,no
704,"Beer, bitter, strong (>5% ABV)",42,yes
705,"Beetroot, cooked in unsalted water",53,no
706,"Beetroot, pickled, drained",28,no
707,"Beetroot, raw",36,no
708,"Bele, raw",67,no
709,"Betel leaves, fresh",61,no
710,Betel nuts,339,no
711,"Bhaji, aubergine and potato, homemade",135,yes
712,"Bhaji, aubergine, pea, potato and cauliflower, homemade",72,yes
713,"Bhaji, cabbage and pea, with butter ghee, homemade",177,no
714,"Bhaji, cabbage and pea, with rapeseed oil, homemade",180,no
715,"Bhaji, cabbage and potato, with butter, homemade",98,no
716,"Bhaji, cabbage and potato, with rapeseed oil, homemade",106,no
717,"Bhaji, cabbage and potato, with vegetable oil",108,no
718,"Bhaji, cabbage and spinach",198,no
719,"Bhaji, cabbage, homemade",77,no
720,"Bhaji, carrot, potato and pea, with butter, homemade",116,yes
721,"Bhaji, carrot, potato and pea, with vegetable oil, homemade",128,no
722,"Bhaji, cauliflower and potato, homemade",106,no
723,"Bhaji, cauliflower and vegetable, homemade",117,no
724,"Bhaji, cauliflower, homemade",211,no
725,"Bhaji, cauliflower, potato and pea, with butter",145,no
726,"Bhaji, cauliflower, potato and pea, with vegetable oil",166,yes
727,"Bhaji, green bean",91,no
728,"Bhaji, karela, with butter ghee, homemade",103,no
729,"Bhaji, karela, with vegetable oil, homemade",103,no
730,"Bhaji, mushroom, homemade",168,no
731,"Bhaji, mustard leaves and spinach, homemade",84,no
732,"Bhaji, mustard leaves, homemade",85,no
733,"Bhaji, okra, Bangladeshi, with butter ghee, homemade",97,no
734,"Bhaji, okra, Bangladeshi, with vegetable oil, homemade",97,yes
735,"Bhaji, okra, Islami, homemade",201,no
736,"Bhaji, pea, homemade",363,no
737,"Bhaji, potato and fenugreek leaves, homemade",222,no
738,"Bhaji, potato and green pepper, homemade",134,no
739,"Bhaji, potato and onion, homemade",162,no
740,"Bhaji, potato, onion and mushroom, homemade",211,no
741,"Bhaji, potato, spinach and cauliflower, homemade",169,yes
742,"Bhaji, potato, with butter ghee, homemade",161,no
743,"Bhaji, potato, with vegetable oil, homemade",161,no
744,"Bhaji, spinach and potato, homemade",192,no
745,"Bhaji, spinach, homemade",83,no
746,"Bhaji, turnip and onion, homemade",126,no
747,"Bhaji, turnip, homemade",179,no
748,"Bhaji, vegetable, Punjabi, with butter",108,yes
749,"Bhaji, vegetable, Punjabi, with vegetable oil",120,no
750,"Bhaji, vegetable, with butter, homemade",185,no
751,"Bhaji, vegetable, with rapeseed oil, homemade",213,no
752,Bicarbonate of soda,0,no
753,"Biryani, chicken, takeaway",163,no
754,"Biscuits, cheese flavoured",494,no
755,"Biscuits, cookies, chocolate chip, American style",440,yes
756,"Biscuits, cookies, chocolate chip, standard",471,no
757,"Biscuits, digestive, half coated in chocolate",488,no
758,"Biscuits, digestive, plain",463,no
759,"Biscuits, digestive, with oats, plain",480,no
760,"Biscuits, fully coated with chocolate",506,no
761,"Biscuits, fully coated with chocolate, with cream",496,no
762,"Biscuits, fully coated with chocolate, with marshmallow",413,yes
763,"Biscuits, ginger nuts",443,no
764,"Biscuits, gingernut, homemade",459,no
765,"Biscuits, iced",406,no
766,"Biscuits, jam filled",428,no
767,"Biscuits, melting moments, homemade",564,no
768,"Biscuits, oat based, chocolate, half coated",489,no
769,"Biscuits, plain, homemade",471,yes
770,"Biscuits, plain, reduced fat",432,no
771,"Biscuits, sandwich, cream",477,no
772,"Biscuits, semi-sweet",444,no
773,"Biscuits, short or sweet, half coated in chocolate",506,no
774,"Biscuits, short, sweet",479,no
775,"Biscuits, wholemeal, homemade",369,no
776,"Black gram, chilki urad dahl, dried, split, boiled in unsalted water",90,no
777,"Black gram, chilki urad dahl, split, dried, raw",287,yes
778,"Black gram, duhli urad dahl, split, dried, boiled in unsalted water",96,no
779,"Black gram, duhli urad dahl, split, dried, raw",298,no
780,"Black gram, urad gram, whole, dried, boiled in unsalted water",89,no
781,"Black gram, urad gram, whole, dried, raw",275,no
782,"Black pudding, dry-fried",297,no
783,"Black pudding, raw",277,no
784,"Blackberries, raw",27,yes
785,"Blackberries, stewed with sugar",56,no
786,"Blackberries, stewed without sugar",21,no
787,"Blackberry and apple, stewed with sugar",63,no
788,"Blackberry and apple, stewed without sugar",28,no
789,"Blackcurrant juice drink/squash, diluted",27,no
790,"Blackcurrant juice drink/squash, undiluted",204,no
791,"Blackcurrants, raw",28,yes
792,"Blackcurrants, stewed with sugar",58,no
793,"Blackcurrants, stewed without sugar",24,no
794,"Blancmange, homemade",96,no
795,"Bloater, flesh only, grilled",251,no
796,"Bloater, flesh only, grilled, weighed with bones and skin",163,no
797,Blueberries,40,no
798,"Boal, raw",86,yes
799,"Bolognese sauce (with meat), homemade",161,no
800,"Bolognese sauce (with meat), made with extra lean minced beef, homemade",108,no
801,Bombay duck,283,no
802,Bombay mix,503,yes
803,"Bouillabaisse, homemade",139,no
804,Bounty bar and own brand equivalents,480,no
805,"Brain, lamb, boiled",126,no
806,"Bran, wheat",186,yes
807,"Brandy snaps, homemade",489,no
808,Brawn,153,no
809,"Brazil nuts, kernel only",683,no
810,"Brazil nuts, kernel only, weighed with shells",314,no
811,"Bread pudding, homemade",289,no
812,"Bread rolls, brown, crusty",255,no
813,"Bread rolls, brown, soft",236,yes
814,"Bread rolls, malted wheat",238,no
815,"Bread rolls, white, crusty",262,no
816,"Bread rolls, white, soft",254,no
817,"Bread rolls, wholemeal",244,no
818,"Bread sauce, made with semi-skimmed milk, HOMEMADE",97,no
819,"Bread sauce, made with skimmed milk, homemade",88,no
820,"Bread sauce, made with whole milk, homemade",108,yes
821,"Bread, brown, average",207,no
822,"Bread, brown, toasted",266,no
823,"Bread, ciabatta",271,no
824,"Bread, garlic and herb, retail",348,no
825,"Bread, malt, fruited",295,no
826,"Bread, malted wheat",237,no
827,"Bread, naan, peshwari naan, takeaway and retail",251,no
828,"Bread, naan, retail",285,yes
829,"Bread, pitta, white",255,no
830,"Bread, seeded",270,no
831,"Bread, soda, made with white flour, homemade",261,no
832,"Bread, wheatgerm",220,no
833,"Bread, white, average",236,no
834,"Bread, white, crusty bloomer, unsliced, fresh, large",247,no
835,"Bread, white, Danish style",228,yes
836,"Bread, white, farmhouse or split tin",241,no
837,"Bread, white, French stick",263,no
838,"Bread, white, premium",230,no
839,"Bread, white, sliced",219,no
840,"Bread, white, sliced, fried in rapeseed oil",498,no
841,"Bread, white, toasted",267,no
842,"Bread, white, 'with added fibre'",224,no
843,"Bread, white, 'with added fibre', toasted",266,yes
844,"Bread, wholemeal, average",217,no
845,"Bread, wholemeal, toasted",255,no
846,"Breadfruit, boiled in unsalted water",119,no
847,"Breadfruit, raw",95,no
848,"Breadnut seeds, dried",367,no
849,"Breadsticks, plain",389,no
850,"Breakfast cereal, bran flakes, fortified",333,yes
851,"Breakfast cereal, bran type cereal, fortified",267,no
852,"Breakfast cereal, cornflakes, crunchy / honey nut coated, fortified",384,no
853,"Breakfast cereal, cornflakes, fortified",376,no
854,"Breakfast cereal, cornflakes, frosted, fortified",350,no
855,"Breakfast cereal, cornflakes, unfortified",378,no
856,"Breakfast cereal, crunchy clusters type, without nuts, unfortified",399,no
857,"Breakfast cereal, crunchy/crispy muesli type cereal, with nuts, unfortified",450,no
858,"Breakfast cereal, fruit and fibre type, fortified",348,yes
859,"Breakfast cereal, honey loops and hoops, including Honey and Nut Cheerios, fortified",349,no
860,"Breakfast cereal, instant hot oat, plain, raw, fortified",352,no
861,"Breakfast cereal, malted flake, fortified",373,no
862,"Breakfast cereal, malted wheat, fortified",339,no
863,"Breakfast cereal, multigrain hoops, fortified",368,no
864,"Breakfast cereal, Oat, instant, flavoured, unfortified, made up with semi-skimmed milk",98,no
865,"Breakfast cereal, oat, instant, plain, fortified, cooked, made up with semi-skimmed milk",95,yes
866,"Breakfast cereal, puffed wheat, honey coated, fortified",355,no
867,"Breakfast cereal, puffed wheat, unfortified",341,no
868,"Breakfast cereal, rice, chocolate flavoured, fortified",375,no
869,"Breakfast cereal, rice, toasted/crisp, fortified",374,no
870,"Breakfast cereal, Ricicles, Kellogg's",377,no
871,"Breakfast cereal, shredded wheat type with fruit, unfortified",326,no
872,"Breakfast cereal, shredded wheat type, unfortified",333,yes
873,"Breakfast cereal, Shredded Wheat, honey nut, Nestle",361,no
874,"Breakfast cereal, wheat and multigrain, chocolate flavoured, fortified",375,no
875,"Breakfast cereal, wheat biscuits, Weetabix type, fortified",332,no
876,"Breakfast cereal, wheat biscuits, Weetabix type, unfortified",332,no
877,"Bream, Sea, raw",96,no
878,"Broccoli in cheese sauce, made with semi-skimmed milk, homemade",118,no
879,"Broccoli in cheese sauce, made with skimmed milk, homemade",114,no
880,"Broccoli in cheese sauce, made with whole milk, homemade",124,yes
881,"Broccoli, green, boiled in salted water",28,no
882,"Broccoli, green, boiled in unsalted water",28,no
883,"Broccoli, green, raw",34,no
884,"Broccoli, green, steamed",34,no
885,"Broccoli, purple sprouting, boiled in unsalted water",19,no
886,"Broccoli, purple sprouting, raw",35,no
887,Brown fruity sauce,98,yes
888,"Brown sauce, reduced salt/sugar",88,no
889,"Brownies, chocolate, homemade",506,no
890,"Brussels sprouts, boiled in unsalted water",32,no
891,"Brussels sprouts, raw",42,yes
892,"Bubble and squeak, fried in rapeseed oil, homemade",126,no
893,"Bubble and squeak, fried in sunflower oil, homemade",128,no
894,"Buckwheat, groats",364,no
895,"Build up, powder, shake, assorted flavours",325,no
896,"Build-up powder, soup, assorted flavours",407,yes
897,"Burger, beef, 62-85% beef, raw",219,no
898,"Burger, beef, 62-85%, beef, grilled",229,no
899,"Burger, beef, 98-99% beef, fried in vegetable oil",329,no
900,"Burger, beef, 98-99% beef, grilled",326,no
901,"Burger, beef, 98-99% beef, raw",291,no
902,"Burger, beef, fried in rapeseed oil, homemade",297,no
903,"Burger, beef, grilled, homemade",288,yes
904,"Burger, beef, with bun, fried in rapeseed oil, homemade",291,no
905,"Burger, beef, with bun, grilled, homemade",283,no
906,"Burger, Big Mac, takeaway",232,no
907,"Burger, cheeseburger, takeaway",254,no
908,"Burger, chicken, takeaway",235,no
909,"Burger, chicken/turkey, coated, retail, grilled",266,no
910,"Burger, hamburger, takeaway",246,no
911,"Burger, Quarter Pounder with cheese, takeaway",263,yes
912,"Burger, Whopper, takeaway",223,no
913,"Butter, salted",744,no
914,"Butter, spreadable (75-80% fat)",715,no
915,"Butter, spreadable, light (60% fat)",547,no
916,"Butter, unsalted",744,no
917,"Butteroil, unsalted",896,no
918,"Cabbage leaves, stuffed with lamb and rice, homemade",100,no
919,"Cabbage, average, boiled in unsalted water",17,no
920,"Cabbage, average, raw",26,no
921,"Cabbage, Chinese, raw",12,no
922,"Cabbage, green, boiled in unsalted water",17,no
923,"Cabbage, green, raw",27,no
924,"Cabbage, red, boiled in unsalted water",15,yes
925,"Cabbage, red, cooked with apple",57,no
926,"Cabbage, red, raw",21,no
927,"Cabbage, white, boiled in unsalted water",16,no
928,"Cabbage, white, raw",24,no
929,"Cake bars, chocolate",430,no
930,Cake rusks,452,no
931,"Cake, battenberg, retail",354,yes
932,"Cake, carrot, iced, retail",374,no
933,"Cake, carrot, with topping, homemade",346,no
934,"Cake, cherry, homemade",398,no
935,"Cake, chocolate fudge",358,no
936,"Cake, chocolate, not filled, homemade",438,no
937,"Cake, chocolate, with butter icing, homemade",452,no
938,"Cake, chocolate, with filling and icing, retail",413,no
939,"Cake, coconut, homemade",423,yes
940,"Cake, fruit, retail",334,no
941,"Cake, fruit, rich, homemade",349,no
942,"Cake, fruit, rich, iced, homemade",355,no
943,"Cake, fruit, wholemeal, homemade",366,no
944,"Cake, lardy, homemade",369,no
945,"Cake, loaf, retail",323,no
946,"Cake, sponge, fatless, homemade",292,yes
947,"Cake, sponge, homemade",463,no
948,"Cake, sponge, soft iced, retail",368,no
949,"Cake, sponge, with butter icing, homemade",476,no
950,"Cake, sponge, with dairy cream and jam, frozen",280,no
951,"Cake, sponge, with jam and butter cream, retail",354,no
952,"Cake, Swiss roll, homemade",286,yes
953,"Cake, Swiss rolls, chocolate covered and filled, retail",414,no
954,Cakes from 'healthy eating' ranges,257,no
955,"Cakes, crispie, homemade",460,no
956,"Cakes, fancy iced, individual, retail",381,no
957,"Calamari, coated in batter, baked",288,no
958,"Callaloo and cho cho, homemade",77,no
959,"Callaloo and okra, homemade",73,no
960,"Cannelloni, spinach, homemade",140,yes
961,"Cannelloni, vegetable, homemade",155,no
962,"Caramel bars and sweets, chocolate covered",493,no
963,Caraway seeds,0,no
964,"Carbonnade of Beef, homemade",134,no
965,"Cardamom, ground",0,no
966,"Carp, raw",112,no
967,Carrot juice,24,yes
968,"Carrots, old, boiled in unsalted water",29,no
969,"Carrots, old, microwaved",32,no
970,"Carrots, old, raw",34,no
971,"Carrots, young, boiled in unsalted water",22,no
972,"Carrots, young, canned in water, re-heated, drained",20,no
973,"Carrots, young, raw",30,no
974,"Cashew fruit, flesh only",33,yes
975,"Cashew nuts, kernel only, plain",573,no
976,"Cashew nuts, kernel only, roasted and salted",611,no
977,"Cassava, baked",155,no
978,"Cassava, boiled in unsalted water",130,no
979,"Cassava, frozen, raw",140,no
980,"Cassava, raw",142,no
981,"Cassava, steamed",142,yes
982,"Casserole, bean and mixed vegetable, homemade",42,yes
983,"Casserole, bean and root vegetable, homemade",48,no
984,"Casserole, beef, made with cook-in sauce",137,no
985,"Casserole, pork and apple, homemade",100,no
986,"Casserole, pork, made with cook-in sauce",154,no
987,"Casserole, rabbit, homemade",97,no
988,"Casserole, sausage, homemade",165,no
989,"Casserole, sweet potato and green banana, homemade",181,yes
990,"Casserole, vegetable, homemade",52,no
991,"Catfish, flesh only, steamed",119,no
992,"Catfish, flesh only, steamed, weighed with bones",101,no
993,"Catfish, raw",96,no
994,"Cauliflower cheese, made with semi-skimmed milk, homemade",97,no
995,"Cauliflower cheese, made with skimmed milk, homemade",94,no
996,"Cauliflower cheese, made with whole milk, homemade",102,yes
997,"Cauliflower cheese, retail",88,no
998,"Cauliflower in white sauce, made with semi-skimmed milk, homemade",63,no
999,"Cauliflower in white sauce, made with skimmed milk, homemade",58,no
